#PSV-2.3   Si.psv.in:1479f9c6
'GGAPBE96'  14.00000000 1
# pseudo potential for tapp generated by
# psv-2.3.0 2008.9.1                                
# title (comment) of allel input file:
# Si -- GGA, non-relarivistic, 2013.06.26 K. Sawada                       
# title (comment) of psv input file:
# Si -- GGA, non-relativistic, 2013.06.26 K. Sawada                       
# stiffness=   0.8557662
# 
     4.00000000000000
    2
    1    1
      1685    0.251068720072167E+01
       1.92620580       1.13109540      -0.92620580       0.53380932
 2000
    0.964323601281360E-05   -0.505691904111972E+01
    0.973199566519810E-05   -0.505691904112193E+01
    0.982157229187225E-05   -0.505691904112418E+01
    0.991197341254767E-05   -0.505691904112647E+01
    0.100032066161500E-04   -0.505691904112881E+01
    0.100952795614559E-04   -0.505691904113119E+01
    0.101881999777361E-04   -0.505691904113361E+01
    0.102819756654043E-04   -0.505691904113608E+01
    0.103766144966715E-04   -0.505691904113859E+01
    0.104721244162078E-04   -0.505691904114115E+01
    0.105685134418082E-04   -0.505691904114376E+01
    0.106657896650666E-04   -0.505691904114641E+01
    0.107639612520545E-04   -0.505691904114912E+01
    0.108630364440070E-04   -0.505691904115187E+01
    0.109630235580141E-04   -0.505691904115468E+01
    0.110639309877192E-04   -0.505691904115754E+01
    0.111657672040237E-04   -0.505691904116045E+01
    0.112685407557980E-04   -0.505691904116341E+01
    0.113722602705995E-04   -0.505691904116643E+01
    0.114769344553963E-04   -0.505691904116950E+01
    0.115825720972986E-04   -0.505691904117264E+01
    0.116891820642961E-04   -0.505691904117583E+01
    0.117967733060024E-04   -0.505691904117907E+01
    0.119053548544067E-04   -0.505691904118238E+01
    0.120149358246316E-04   -0.505691904118575E+01
    0.121255254156983E-04   -0.505691904118918E+01
    0.122371329112990E-04   -0.505691904119268E+01
    0.123497676805763E-04   -0.505691904119624E+01
    0.124634391789095E-04   -0.505691904119986E+01
    0.125781569487085E-04   -0.505691904120356E+01
    0.126939306202148E-04   -0.505691904120732E+01
    0.128107699123099E-04   -0.505691904121115E+01
    0.129286846333313E-04   -0.505691904121505E+01
    0.130476846818958E-04   -0.505691904121903E+01
    0.131677800477303E-04   -0.505691904122307E+01
    0.132889808125109E-04   -0.505691904122719E+01
    0.134112971507085E-04   -0.505691904123139E+01
    0.135347393304436E-04   -0.505691904123567E+01
    0.136593177143480E-04   -0.505691904124002E+01
    0.137850427604346E-04   -0.505691904124446E+01
    0.139119250229755E-04   -0.505691904124898E+01
    0.140399751533880E-04   -0.505691904125358E+01
    0.141692039011285E-04   -0.505691904125826E+01
